label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,file,strain
flat,0.0537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000,38500,39500,39000,39000,39000,39500,39000,39500,39500,40000,39500,40000,39500,39500,39500,T0000152,SD
flat-z,0.1126,46300,45800,45800,45800,45400,44900,44900,44400,44400,39500,39500,39500,39000,39500,,,,38500,38000,38000,38000,38500,38500,37500,38500,37500,37500,37500,37500,38000,37500,37500,38000,38000,38000,38000,38000,38500,38000,38500,38500,39000,39000,39500,39500,39500,39500,39500,39500,39000,T0000152,SD
flat-z,0.11,44400,44900,44900,44900,44900,44900,44400,44400,40000,39500,39500,39500,39000,39000,38500,38500,38500,38500,38500,39000,39000,39000,39000,39500,,,,,,,,,,40500,40000,,39000,39000,38500,38500,38000,38000,38000,38000,37500,37500,37500,37100,37100,36600,T0000152,SD
flat-mz,0.0962,41500,41500,41500,41500,41500,41500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38000,,,,,,,41900,41900,42400,42400,41900,41900,41900,41900,41900,42400,41900,38500,38500,38500,38000,38500,38000,38000,38000,38000,38000,38000,37100,,T0000152,SD
flat-z,0.0547,42400,42400,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,42400,39000,39000,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38000,T0000152,SD
flat,0.023,39500,39500,39500,40000,40000,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40000,40000,40000,40000,40000,39500,40000,40000,39500,39500,39500,39500,T0000152,SD
flat,0.0291,38000,38000,38000,38500,38500,38500,38500,38500,38500,38500,38500,38500,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39500,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,38500,38500,38000,38000,38500,38500,,T0000152,SD
short,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,65900,65900,65900,66400,66400,66400,66400,66800,66800,66800,66400,66400,66400,66400,66400,66400,66400,,,,,,,,,T0000152,SD
flat,0.2176,45800,45800,,,46800,49300,49300,46800,46300,46300,47300,47300,47300,47300,47300,47300,46800,46300,46300,46300,45800,45800,45400,45400,45400,45400,45400,45400,45400,45400,45400,44900,44400,43900,43900,43400,43400,43900,43900,44400,44400,44400,43900,43900,44400,43900,43400,43400,42400,,T0000152,SD
flat-mz,0.3112,39000,43900,44400,88800,44400,43400,42900,39000,39500,42400,42400,42400,42900,42900,42900,42900,43400,43400,43400,42900,42900,42900,43400,42900,42900,42400,41900,43400,44400,45400,45800,45400,45400,43900,44400,44400,44400,44400,44900,44400,43900,43400,43400,43900,44900,45400,45800,45800,45400,44900,T0000152,SD
flat-mz,0.2109,37500,38500,39000,39500,40000,42400,42400,41900,41900,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,38500,39000,39000,40500,40500,40500,40000,40500,41000,40500,41000,41000,41500,41500,38500,38000,38000,38000,38500,38500,38500,39000,39000,39000,38000,T0000152,SD
flat,0.0629,44900,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,44900,44900,44900,,44400,,44400,44400,44900,44900,44400,44400,45400,44900,44400,44400,44400,44400,44400,44400,44400,44400,43900,44400,44400,44400,43900,44400,44400,43900,43900,43900,43900,43900,,42900,T0000152,SD
flat,0.108,44900,45400,46300,45800,45800,46300,45800,45400,45800,45400,45400,45400,44900,44900,44400,44400,44400,43900,43900,43400,43400,43400,43400,42900,42900,42900,42400,,42400,42900,42400,42400,42400,41900,42900,,,,,,,41500,41500,41500,41500,41500,,,41900,42900,T0000152,SD
flat-z,0.066,,,44400,44400,43900,,,,,,,,43900,43900,43900,43900,43900,43900,43900,43900,43900,,39500,39500,39500,40000,39000,39500,39500,39500,,39000,39000,39000,39500,39000,39000,39000,39000,39000,39500,39000,39000,39000,39000,39500,39000,39000,39000,39500,T0000152,SD
flat,0.0174,,,,,,,,,,,,,37500,38500,38500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,38000,38000,37100,,,,,,,,,,,,,,,,,,,T0000152,SD
flat,0.0138,50200,50200,50700,50700,50700,50700,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50700,50700,50200,50200,50200,50200,49800,49800,49800,49300,49300,49800,49800,48800,48800,,,,,T0000152,SD
flat,0.066,48300,48800,49300,49300,49800,50200,50200,50200,50700,50700,50700,51200,51200,51200,50700,50700,50700,50200,50200,50200,49800,49800,49800,49300,49300,49300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300,47300,,T0000152,SD
flat,0.0604,,,,,,,,,,47800,,,,,,,,,,,,,,,,,,,,,,,,,,,46800,46800,46800,,,,,,47300,47300,47300,46800,,23400,T0000152,SD
flat,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47800,,,,,,T0000152,SD
short,0.0071,,,,,,,,,,,,81000,81000,81000,,,,,,,,,,,,83000,83000,83000,83900,83900,83900,83900,83900,83900,83900,,,,,,,,83400,83400,83400,83400,84400,84400,84400,,T0000152,SD
short,0.0081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
short,0.0051,,,,,,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,,,,,,T0000152,SD
inverted-u,0.0128,,,47300,47300,47800,47800,48300,48300,48800,48800,,,48800,48800,49300,49300,49800,49800,50200,50200,50200,50200,50200,50200,50200,50200,49800,49800,49800,49800,49800,49800,49300,49300,,,49800,49800,49800,49800,48800,48800,48800,48800,48800,48800,48300,48300,,,T0000152,SD
complex,0.066,41900,46800,46800,49300,50200,50700,50700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,49800,49800,49300,48800,48800,48300,48300,48300,48300,48300,48800,48800,48800,49300,49300,48300,47300,45800,45400,T0000152,SD
flat,0.0302,47300,47800,47800,48300,48300,48800,48800,49300,49300,49300,49800,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,50700,50200,50200,50200,48800,49800,48800,49800,49800,47800,47300,47300,T0000152,SD
complex,0.0512,47300,47300,47300,47300,47300,47300,47300,,,,46800,,48300,48800,49300,49800,50200,50200,50700,50700,51200,51200,51200,51700,51700,51700,51700,51700,51700,51200,51200,50700,50700,49300,49300,49300,48800,48300,48300,48300,47800,47800,47800,47300,46800,46800,41500,41000,42400,46800,T0000152,SD
flat,0.0343,38000,38500,38500,39000,39000,39500,39500,39500,39500,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41900,41900,41900,42400,42400,42400,42400,42400,42900,42900,43400,43400,41900,42900,42400,42900,41500,T0000152,SD
inverted-u,0.0368,46300,45800,46300,47300,47300,47800,47800,48300,47800,48300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,45400,46300,45400,41500,41500,41500,T0000152,SD
flat,0.0204,,,,,,,,,,,,,,,,,49300,49300,,,,,,,,,,,,,,,,,,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,49800,T0000152,SD
flat,0.0194,,,,,,,,,,,,,,,,,,,,,,,,,,,62000,62000,62000,62000,62000,62000,62000,62000,,,,,,,61500,61500,60500,61000,61000,61000,60500,60500,61000,60500,T0000152,SD
flat,0.0179,,,65400,65900,65900,65400,65900,65400,65400,65900,65900,65900,65900,65400,65900,65900,65400,65400,65400,65400,65400,65400,65400,64900,64900,64900,64900,64900,64900,64900,64900,64400,64400,64400,64400,63900,63900,63900,64400,64400,63400,63900,63400,63400,62900,,,,,,T0000152,SD
flat,0.0204,46800,46800,46800,,47800,47300,47300,47800,47800,47800,47800,47800,48300,47800,,47800,48300,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49300,49300,T0000152,SD
,0.0081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
flat,0.0424,46800,46800,47300,47800,48300,48800,48800,49300,49300,49800,49800,49800,49800,49800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,49300,48800,48800,49300,48800,49300,48800,48800,48800,48800,48800,48800,48800,48800,47300,47300,47300,46800,46800,46300,T0000152,SD
flat,0.0128,,,,,,,,,,,,,,,,,,,72700,72700,72700,72700,,,72700,72700,73200,73200,73200,73200,73700,73700,74200,74200,73700,73700,73700,73700,74200,74200,,,74200,74200,,,,,,,T0000152,SD
flat,0.0163,,,53700,53700,,,,,,,,,,,,,,,,,,,,,,52200,52200,,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
short,0.004,,,,,,,,69300,69300,69300,69300,69300,69300,,,,,,,71200,71200,71200,71200,71200,71200,,,,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
flat,0.0368,,,,49800,49800,50200,50200,51700,51700,51700,51700,52200,52200,52700,52200,52700,52700,52700,53700,53700,54100,54100,54100,54100,54600,54600,54100,54600,54100,54600,54100,54100,53700,54100,54100,53700,54600,54100,54100,53700,54100,54100,54100,54100,53700,53700,,52700,52200,51700,T0000152,SD
flat,0.0358,51700,51700,51700,52200,52700,52700,53200,53200,53200,53700,53700,53700,53700,53700,53700,53700,53700,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55600,55600,56100,56100,56100,56600,56600,56600,56600,56600,56100,,,,,,T0000152,SD
flat,0.0291,52700,53200,53200,53200,53700,53700,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55600,55600,55100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,35100,34100,33600,55100,34100,T0000152,SD
flat,0.0281,52200,53200,53200,53200,53700,53700,54100,54100,54100,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54100,54100,54100,54100,53700,53700,53700,53700,51700,51700,51700,52200,52200,49800,49800,49300,48300,48800,48300,47800,48300,48300,48300,48300,48300,48300,,,,,,T0000152,SD
flat,0.0286,53200,53200,54100,53700,54100,54100,54100,54600,54600,54600,54600,55100,55100,55100,55100,55600,55600,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,T0000152,SD
inverted-u,0.0261,49300,49800,50700,50200,50700,51200,52200,52200,52200,53200,53200,53200,53700,54100,54100,54100,54600,54600,54600,55100,55100,55100,55600,55600,55600,55600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,55600,55600,55100,54600,,,T0000152,SD
flat,0.0184,47800,47800,48300,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,48800,48800,48800,48800,48300,49300,48300,48300,48300,48300,48300,48300,48300,47800,47800,47800,47800,47800,47800,47300,47300,46800,46800,46300,45800,45800,T0000152,SD
flat,0.0296,,,,47300,46300,,47800,47300,47800,47800,47800,,,,,,,49300,48800,48800,48800,,,,,,50200,50200,49300,,,,,,,,,,50700,49800,49300,49300,49300,48300,48300,47800,47300,47300,47300,,T0000152,SD
short,0.0051,,,,,,,,,,,,,,,,,,,,,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,T0000152,SD
flat,0.0455,,45800,46300,46800,47800,48800,48300,48800,49300,49300,49300,49300,49300,49800,49800,50200,50200,50700,50200,50700,50700,50700,50700,50200,50200,50200,49800,49300,49300,49300,49300,49300,48300,48300,47800,47300,47300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,T0000152,SD
flat,0.0138,,,43900,43900,43900,43900,43900,43900,,,44400,,,44400,44400,44900,44900,45400,45400,44900,44900,44900,44900,44900,44900,44900,44400,44400,,,,,,,,,,,,,,,,,,,43900,43900,44400,43900,T0000152,SD
flat,0.0614,,47800,48800,48300,48300,48300,48300,47800,48300,,,,47300,47300,47300,47300,47300,47300,47300,47300,46300,47300,47300,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47800,47300,,,,48300,47800,47800,,,47800,47300,,T0000152,SD
flat,0.044,46800,46800,46800,47300,47800,46800,47300,47300,46800,46800,47800,47300,,47300,48300,47300,,,47800,47800,48300,48300,47300,,,,,,,,,,49300,49300,49300,50200,49800,49300,48800,,48800,48300,48300,,47800,,,,,,T0000152,SD
multi-step,0.0517,,,,75100,76600,76100,,49300,49800,50200,50700,51200,51700,51700,52200,52200,52700,53200,53200,53200,53200,53200,53200,53200,52700,52200,51700,51200,50700,50200,,,,,,,,80500,,81000,,,,82000,82500,82500,,,81500,81500,T0000152,SD
flat,0.024,50700,50700,51200,51200,51200,51700,52200,52200,52200,52700,52700,52700,52700,52700,52700,53200,52700,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,52700,52700,52700,52700,52700,52700,52700,52700,52200,52700,52700,52200,52200,52200,51700,51700,51700,51700,51200,51200,T0000152,SD
flat,0.0204,,,,49300,49800,49800,49800,49800,49800,49800,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,51200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50700,50200,,,,T0000152,SD
upward ramp,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54600,,,53700,,,,,,,,,,54600,,,T0000152,SD
flat,0.0296,,,,,,,,,,,,,,,,,,54100,53200,53700,53700,53700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
flat,0.0209,,,,,,47300,47300,47300,47300,47800,48300,47800,47800,47800,47800,47800,48300,47800,47800,47800,47800,48300,47300,48300,47300,47300,47300,47300,47300,,47300,47300,47300,47300,47300,47300,47300,47300,47300,,,,,,,,,,,,T0000152,SD
short,0.0066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,,T0000152,SD
flat,0.0419,44900,44900,45400,45400,,,,,45400,,45800,45800,46300,,,,,,,44900,,,,45400,,,,,,,,,,,45400,45800,45400,45400,,,45400,44900,44900,44900,44900,44900,45400,45400,,,T0000152,SD
flat,0.0696,,43900,,44400,44400,,44900,,,44900,44900,44900,44900,44400,44900,44900,44900,44900,44900,44900,44400,,,,,44400,44400,,44400,44900,44900,44900,44900,44900,44900,44900,44900,44400,44900,44900,44400,44400,,44400,44400,,,43400,,,T0000152,SD
short-ur,0.0097,,,,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49800,49800,49800,,,50200,50200,50200,,,51200,51200,51200,51700,51700,51700,51700,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,,,,T0000152,SD
short,0.0046,,,,,,,61500,61500,61500,61500,61500,,,,,,,,,,,,,,,,,,64400,64400,64400,64400,64400,63400,63400,63400,63400,63400,63400,,,,,,,,,,,,T0000152,SD
flat,0.0378,,,,,,,,,,,,,,,,,,,,,,,43900,43900,43900,,,,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
flat,0.0865,,,,41000,,41000,41500,41500,41900,,,41900,41500,41500,41500,41500,41000,41000,40500,,,,,41000,,,,,,40500,40500,40500,40500,,,,,,41000,40500,40500,40500,40500,40000,40000,40000,41000,,,,T0000152,SD
flat,0.1187,,41000,,,42400,43900,,,87800,44400,44400,,43400,43900,44900,45400,44900,44900,44400,43900,43400,42400,41500,41500,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,,40500,,,40000,40000,40000,40500,,T0000152,SD
flat,0.0353,,,,38000,38500,39000,39000,40000,40500,40500,40500,40500,41000,41000,41000,41000,41000,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,40000,40000,,T0000152,SD
flat-z,0.0307,45800,45800,45800,45800,45800,45800,,46800,,46800,46800,45800,45800,45800,45800,45800,46300,46300,45800,45800,45800,45800,45800,45800,45800,45800,45400,45400,45400,45400,45400,44900,44400,41000,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,40500,40500,40000,,,,T0000152,SD
flat,0.0271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38500,38500,38500,39000,38500,39500,,38500,38500,,38500,38500,,38500,,,,,,T0000152,SD
flat,0.0834,,,,,,,,,,,,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40000,40000,,,,,,39000,,,,39500,38000,,,,,,,,,,,,T0000152,SD
flat,0.2565,34600,35100,35600,35600,35600,36100,36100,35600,35100,34600,35100,35100,35100,35100,35600,35600,35600,35600,35600,35600,35600,35600,,,35600,35600,35100,35100,35100,35100,35100,35100,35100,35100,35100,,,34600,34600,35100,34600,35100,34600,34600,34600,35100,35100,35100,34600,34100,T0000152,SD
short,0.0087,,,,,,,54100,54100,54100,54600,54600,54600,55100,55100,55100,55100,55100,55100,55100,55100,55100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55100,55100,55100,T0000152,SD
flat,0.1413,,34600,35100,35100,35100,35600,35100,35100,35100,35100,35100,35600,36100,35100,,35600,35600,35600,35600,35600,35600,36100,35600,35600,35600,35600,35600,35600,35100,34600,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,34600,,35100,34600,34600,34100,34600,34100,,T0000152,SD
flat,0.0972,,,,,,35600,36100,35600,35600,36100,35600,35600,35600,35600,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,34600,,35100,,34600,34100,34600,34100,34100,34100,34600,34600,34100,34100,34100,34100,34100,,,,T0000152,SD
flat,0.1274,,36600,36600,,36100,35600,36100,35600,35600,35100,35100,35100,34600,34600,34600,34600,34600,34600,34600,34600,34100,34100,34100,34600,34600,34600,34600,34600,34600,34600,34600,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,34600,34600,34600,34600,34100,35100,,33600,,T0000152,SD
flat,0.045,,,,,,,,,,,,,,,,37500,37500,,,,,,,37500,37500,37500,37500,37100,,,37500,37500,36600,36600,36600,36600,36600,36600,36600,36100,36100,36100,,35600,36100,36100,36100,35600,,,T0000152,SD
short,0.002,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,57600,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,T0000152,SD
flat,0.0803,,,,,,,,,,,,,,,,,,,,,,35100,,,,,35100,35100,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
step down,0.0363,57600,57100,44900,44900,,,,,,,,,37500,38000,38000,37500,38500,37500,38000,38500,38000,40000,40000,40000,40000,40000,40000,39500,40000,40000,40000,40000,39500,39500,39500,40000,39000,39000,39000,38500,37100,38000,37500,37500,37500,37500,37500,37100,37500,37500,T0000152,SD
short,0.0035,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66800,66400,66400,66400,66400,66400,66400,66400,66800,66800,66800,66800,66800,66800,66800,66800,T0000152,SD
short,0.0056,,,,,,,,,,49800,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,50200,50200,,,,,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,T0000152,SD
step up,0.0312,,47300,,,,,,,,,,,,,,,,47800,47300,47300,,,,,,,,,,,,,,,,,,,,,,,63900,64900,65400,66400,65900,66400,66800,67300,T0000152,SD
short,0.0046,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,,,,,,50200,T0000152,SD
short,0.0087,53200,53200,53200,53700,53700,53700,,,,54100,54100,54100,54600,54600,54600,55100,55100,55100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,56100,56100,56100,57100,57100,57100,56600,56600,56600,56600,56600,56600,57100,57100,57100,56600,56600,56600,T0000152,SD
short-c,0.0081,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,54100,54100,54100,53700,53700,53700,54100,54100,54100,54100,54100,54100,54600,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55100,54600,54600,54600,55100,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54600,54600,T0000152,SD
flat,0.0701,,38500,38500,38500,38500,38500,38500,39000,39000,39000,38500,38500,39000,39500,39000,39000,39000,39000,38500,39000,38500,38000,38000,37500,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000152,SD
flat,0.1111,,38500,38500,38500,39500,39500,38500,38500,,,,39000,38000,38000,38000,38000,38000,37500,,,37100,,,,,37500,37500,36600,37100,36600,36100,36600,36600,36100,,36100,36100,36100,36100,36100,37100,36600,36600,36600,,,37500,37500,37100,,T0000152,SD
flat,0.0885,37500,38000,38000,38000,38000,38000,38000,38000,38000,37500,38000,37500,37500,37500,38000,37500,37100,37100,37100,37100,37100,37100,37100,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,37100,37100,37100,37100,37500,37500,37500,37500,,,37500,,T0000152,SD
flat,0.0727,38000,38500,38500,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,38500,38500,38500,38500,38500,38000,38000,38000,38000,38000,37500,37500,37500,37500,37100,37100,37100,37100,37100,37100,36600,36600,36600,36600,36100,36600,36600,36100,35600,37100,36100,,,36100,T0000152,SD
flat,0.066,,,,,,,,,,,,,,,39500,39500,39500,39500,39500,39500,39000,,,,,,,39000,39000,39000,39000,39500,38500,39500,,,,38500,38500,39000,38500,38500,38500,38500,38500,38500,38500,,,,T0000152,SD
flat,0.0506,,,40000,39500,40000,39500,39500,39500,39500,39500,39500,39500,39000,39000,39000,,,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39500,39000,38500,,,39000,,,,T0000152,SD
flat,0.0942,46300,46800,49300,49300,49800,49800,49800,50200,50200,50200,50200,50200,49800,50200,49800,49800,49800,49300,48800,48800,48300,48300,48300,48300,47800,47800,47800,47800,46800,46800,46800,46300,46300,46300,45800,45800,45800,45400,45400,45400,45800,45800,45800,45800,45800,46300,45800,45800,45800,44900,T0000152,SD
flat,0.0655,42900,,42900,42900,42900,44400,,43400,43400,43400,43400,43400,,,42900,21900,,42900,42900,42900,42900,42900,43400,,,,,,42400,42900,42900,42900,43400,43400,43400,43400,43400,43400,42900,42900,,,,42900,42900,42400,,42400,42400,41900,T0000152,SD
flat,0.1459,42900,43400,43400,43400,43400,43400,43400,43400,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,,42900,42900,42900,42900,42400,42900,42900,42900,42400,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,36600,T0000152,SD
flat-z,0.1269,43900,43900,43900,43400,43400,42900,42900,42900,42900,42400,42400,84400,84900,41900,41900,41900,42400,41900,41900,41900,41900,41900,41900,41900,41900,42400,42900,42900,43400,44400,45400,45800,46300,46800,46800,46300,46300,46300,45800,45800,45800,45800,45800,45800,45800,45800,46300,45400,45400,,T0000152,SD
flat,0.1039,44900,44900,44900,44900,44400,44400,44400,44400,43900,43900,43900,43900,43400,43400,42900,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,42400,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42900,42900,42900,42900,43400,43400,43400,42900,42900,42900,42400,41900,T0000152,SD
flat,0.0194,46800,46800,46800,47300,46800,46800,45800,46300,45800,45800,45800,46800,45400,44900,44900,44900,45800,44900,44900,,,,,,,,,,,,,,,,,,,,,,,,,44400,43400,43400,43400,43400,43400,43400,T0000152,SD
flat,0.0865,45400,45400,45400,45400,45400,45400,44900,44400,44400,43900,43900,43900,43400,42900,42900,42900,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,43400,43400,43900,43900,44400,44400,44400,44900,44900,44900,45400,45400,45400,45800,45800,45800,45400,45400,45800,45800,45800,45800,,T0000152,SD
short,0.0102,64900,64900,64900,64400,64400,64900,64900,64900,63900,63900,64400,64400,64400,63400,63400,63400,63400,63400,62900,62900,62900,62900,62900,62500,62500,62500,62500,22400,22400,22400,22400,22400,21900,21900,21900,22400,22400,22400,22400,22400,22400,22400,21400,21400,21400,21900,21900,21900,21900,21900,T0000152,SD
flat,0.0168,,,,39500,39500,39500,39500,39500,39500,40000,40000,39500,39500,39500,40000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39000,39500,39500,40000,39000,39000,,39000,39000,39000,40000,40000,39500,39500,39500,39500,40000,40000,39500,39500,39500,39500,,39000,T0000152,SD
flat,0.0783,,47800,48300,48800,51200,17000,51200,51200,51200,51200,51200,50700,21900,50200,50200,49800,49800,49800,49300,49300,48800,48800,48800,48800,48800,48300,47800,21900,22900,22400,22400,22400,22900,22400,22400,,23400,22400,18500,46800,47300,46800,46800,,46800,47300,47300,47300,46800,19500,T0000152,SD
flat-mz,0.2012,37100,37500,38000,42400,18000,14600,38000,14600,38500,22400,21900,,17500,,42400,41900,41900,41900,21400,41000,41000,40500,,,40000,40000,,21900,21900,40500,40500,40500,41000,41000,41500,41500,38500,38500,38500,38500,38500,38500,38500,43400,38000,37500,38000,20900,20500,19500,T0000152,SD
